 26.06.85 VIRGIN I         7.3  268.    6.3  272.     91 C         67.  3
 14.12.85 ARAB. SEA        8.5  119.    7.4  116.    417           52.  2
 10.11.85 S ATL-RIDGE      5.8  200.    5.3  202.    410           81.  2
 30.11.85 ATL IND-RISE     5.8  133.    4.7  138.    428           90.  1
 27.04.86 S ATL-RIDGE      5.8  204.    5.2  201.    410 A3        83.  2
 30.04.86 N E C MICHOAKAN  4.9  291.    4.7  300.     56           91.  2
 23.05.86 E GULF OF ADEN   8.5  122.    7.7  128.    415           48.  3
 28.05.86 E C PAC-OCEAN    4.2  305.    4.6  311.    693           96.  1
 20.04.88 C MID-ATLANT     6.8  225.    6.8  230.    406           60.  1
 07.05.88 KURILE I         4.7   32.    5.4   31.    221           80.  1
 20.05.88 C MID-ATLANT     6.9  241.    6.9  242.    406           59.  2
 10.06.88 CHAGOS ARCH      6.8  121.    5.6  117.    426           77.  2
 18.06.88 GULF OF CALIF    4.3  308.6   4.8  311.     49           88.  2
 16.07.88 E GULF OF ADEN   8.4  120.    7.6  123.    415           49.  2
 05.09.88 DOMIN. REP REG.  6.9  272.    6.1  276.     88           71.  2
 23.12.88 C MID-ATLANT     6.8  224.    6.8  229.    406           60.  2
 22.01.89 TAJIK SSR        7.4   92.    8.2   83.    715           41.9 1
 24.06.86 N ASCENSION      7.6  215.    7.1  216.    407           56.  2
 07.07.86 CARLSBERG-RIDGE  8.4  120.    7.3  120.    421           54.  1
 18.07.86 SAMBIA           6.6  160.    6.3  162.    576 C         68.  3
 17.09.86 CARLSBERG-RIDGE  8.3  120.    7.3  120.    421           54.  2
 01.02.87 N ASCENSION      7.4  214.    7.1  216.    407 B1        56.  2
 12.03.87 C MID-ATLANT     7.3  215.    7.1  216.    407 B1        56.  2
 26.02.88 ATL. IND-RISE    5.0  147.    4.6  152.    428           93.  2
 06.03.88 GULF OF ALASKA   5.6  346.6   6.0  345.5    15           71.6 1
 07.03.88 N PAC-OCEAN      4.8   32.    5.2   28.    611           83.  1
