GRA1        +49.69188770  +11.22172020   1  -21.923    +37.862   !Graefenberg, F.R.G.
OBN          55.120   36.570  0  0.00  0.00                                       
OGA          46.820   11.020  0  0.00  0.00                                       
PUL          59.770   30.320  0  0.00  0.00                                       
PSI           2.720   98.920  0  0.00  0.00                                       
PVL          43.150   25.170  0  0.00  0.00                                       
RJF          45.300    1.520  0  0.00  0.00                                       
SMF          46.650    3.840  0  0.00  0.00                                       
SIM          44.950   34.120  0  0.00  0.00                                       
SKO          41.970   21.440  0  0.00  0.00                                       
SOP          47.680   16.560  0  0.00  0.00                                       
SPF          43.560    6.690  0  0.00  0.00                                       
SSF          47.060    3.510  0  0.00  0.00                                       
SSC          48.580    0.110  0  0.00  0.00                                       
SVE          56.810   60.640  0  0.00  0.00                                       
TAM          22.790    5.520  0  0.00  0.00                                       
TCF          46.290    2.210  0  0.00  0.00                                       
TLG          43.270   77.380  0  0.00  0.00                                       
UPP          59.860   17.630  0  0.00  0.00                                       
UZH          48.630   22.300  0  0.00  0.00                                       
VKA          48.270   16.320  0  0.00  0.00                                       
YAK          62.020  129.720  0  0.00  0.00                                       
ZUL          47.480    8.390  0  0.00  0.00                                       
ZUR          47.370    8.580  0  0.00  0.00                                       
ARG          36.220   28.130  0  0.00  0.00                                       
IZM          38.400   27.260  0  0.00  0.00                                       
SOC          43.580   39.720  0  0.00  0.00                                       
PSZ          47.920   19.890  0  0.00  0.00                                       
NIE          49.420   20.320  0  0.00  0.00                                       
ISO          44.180    7.050  0  0.00  0.00                                       
MOS          55.740   37.620  0  0.00  0.00                                       
WLS          48.410    7.350  0  0.00  0.00                                       
BNG           4.430   18.550  0  0.00  0.00                                       
ALE          82.480  -62.400  0  0.00  0.00     !Alert, Canada
KIR          67.840   20.420  0  0.00  0.00                                       
SEM          50.400   80.250  0  0.00  0.00                                       
MFF          46.600   -0.140  0  0.00  0.00                                       
EBL          55.770   -3.040  0  0.00  0.00                                       
CIN          37.600   28.090  0  0.00  0.00                                       
KRV          40.650   46.330  0  0.00  0.00                                       
TIR          41.350   19.860  0  0.00  0.00                                       
RCI          38.100   15.640  0  0.00  0.00                                       
MAK          43.020   47.430  0  0.00  0.00                                       
KIS          47.020   28.870  0  0.00  0.00                                       
BEO          44.820   20.450  0  0.00  0.00                                       
BER          60.390    5.330  0  0.00  0.00                                       
NPL          40.850   14.260  0  0.00  0.00                                       
RMP          41.810   12.700  0  0.00  0.00                                       
ASH          37.950   58.350  0  0.00  0.00                                       
ZAG          45.820   15.980  0  0.00  0.00                                       
SRO          47.810   18.310  0  0.00  0.00                                       
VIE          48.250   16.360  0  0.00  0.00                                       
PAD          45.410   11.890  0  0.00  0.00                                       
SET          36.200    5.400  0  0.00  0.00                                       
KHC          49.130   13.580  0  0.00  0.00  !Kasperske Hory, CSFR                                     
