PDE-W 2002 0623111042.28  -30.84  -71.17  67         5.60 mb GS   6F.G .......
PDE-W 2002 0627055035.11   -6.96  104.18  11         6.90 Ms GS   2F.G .......
PDE-W 2002 0627071610.37  -13.27  167.05 186         6.10 MwHRV   ...G .......
PDE-W 2002 0628171930.27   43.75  130.67 566         7.30 MwGS    3FFG .......
PDE-W 2002 0629023900.72  -12.40  166.52  33         6.20 MwGS    ...G .......
PDE-W 2002 0629065443.49   34.13   94.50  33         5.50 Ms GS   .... .......
PDE-W 2002 0630212936.30  -22.20  179.25 620         6.50 MwGS    ...G .......
PDE-W 2002 0702101559.24  -29.85 -112.40  10         5.80 MwGS    ...G .......
PDE-W 2002 0702202100.22  -31.15  -67.76  27         5.50 mb GS   .F.G .......
PDE-W 2002 0703230018.47   -5.03  147.34  31         6.20 Ms GS   ...G .......
PDE-W 2002 0705061528.93  -20.62 -177.16 280         5.70 MwGS    ...G .......
PDE-W 2002 0709184035.63   43.52 -127.17  10         6.00 MwGS    ...G .......
PDE-W 2002 0711073626.06   24.08  122.29  43         5.80 MwGS    4F.G .......
PDE-W 2002 0713200627.54   30.80   69.98  33         5.80 MwHRV   .F.G ......S
PDE-W 2002 0714163514.75   -8.20  156.98  17         5.80 MwHRV   ...G .......
PDE-W 2002 0717022033.83   48.52  153.26 147         5.60 MwGS    ...G .......
PDE-W 2002 0719023828.71    1.29  122.75  33         5.70 MwGS    4F.G .......
PDE-W 2002 0719064355.10  -56.62 -140.69  10         6.10 MwHRV   ...G .......
PDE-W 2002 0723200531.88   37.25  142.22  33         5.70 mb GS   4F.G .......
PDE-W 2002 0724030505.54   -9.28  118.62  28         5.90 MwGS    4F.G .......
PDE-W 2002 0725123101.44   43.66  147.55  33         5.70 MwGS    4F.G .......
PDE-W 2002 0728022918.60   51.07 -178.06  33         5.70 MLPMR   .... .......
PDE-W 2002 0729071337.76    6.44  126.32  33         5.70 mb GS   4F.G .......
PDE-W 2002 0729072609.78  -55.74  -26.87  33         5.60 MwHRV   ...G .......
PDE-W 2002 0730065507.78  -57.89  -23.24  33         6.20 MwHRV   ...G .......
PDE-W 2002 0730200206.45   -6.50  130.31 102         5.50 MwGS    ...G .......
PDE-W 2002 0731001644.61    7.93  -82.79  10         6.50 MwHRV   7C.G .......
PDE-W 2002 0802231139.13   29.28  138.97 426         6.30 MwGS    3..G .......
PDE-W 2002 0803023901.84    8.26  -82.82  10         5.90 MwHRV   ...G .......
PDE-W 2002 0803141813.45   -1.51  -14.37  10         5.70 MwGS    ...G .......
PDE-W 2002 0804002142.88   11.37  -87.31  33         5.60 MwHRV   ...G .......
PDE-W 2002 0804095025.23  -45.02  -80.73  10         5.90 MwGS    ...G .......
PDE-W 2002 0804151626.99  -35.46  -16.24  10         6.00 MwGS    ...G .......
PDE-W 2002 0806185132.42   -5.54  141.83  10         5.60 MwGS    ...G .......
PDE-W 2002 0807045006.74  -21.86 -176.58 174         5.80 MwGS    ...G .......
PDE-W 2002 0807235914.54    7.85  -82.89  10         6.00 MwGS    .F.G .......
PDE-W 2002 0808133958.26    4.98  -77.82  43         5.90 MwGS    .F.G .......
PDE-W 2002 0809133105.29  -16.31 -176.17 364         6.10 MwGS    ...G .......
PDE-W 2002 0812025924.02  -19.51  169.04 112         6.00 MwGS    ...G .......
PDE-W 2002 0813060537.65   -7.00  104.02  33         5.90 Ms GS   ...G .......
PDE-W 2002 0813083722.77   14.75   55.85  10         5.80 mb GS   ...G .......
PDE-W 2002 0813141354.99  -30.77 -177.37  33         5.60 MwGS    ...G .......
PDE-W 2002 0814131239.88    7.83  136.88  10         6.30 MwGS    ...G .......
PDE-W 2002 0814135752.11   14.10  146.20  30         6.50 MwHRV   .DFG .......
PDE-W 2002 0815053026.23   -1.20  121.33  10         6.20 MwHRV   5C.G .......
PDE-W 2002 0819110101.19  -21.70 -179.51 580         7.70 MEGS    ..FG .......
PDE-W 2002 0819110313.23  -23.57  178.54 650         5.90 mb GS   .... .......
PDE-W 2002 0819110824.31  -23.88  178.49 675         7.70 MwGS    .F.G .......
PDE-W 2002 0819112306.20  -23.90  178.38 677         6.10 mb GS   .... .......
PDE-W 2002 0819114529.41  -21.89 -179.45 600         5.50 mb GS   .... .......
PDE-W 2002 0819125204.15  -24.87  178.57 691         5.60 mb GS   .... .......
PDE-W 2002 0820105932.02   30.99  141.97   9         6.30 MwGS    ..FG .......
PDE-W 2002 0822235809.50  -21.10 -179.10 618         5.50 MwGS    ...G .......
PDE-W 2002 0824184053.44   43.11  146.12  42         6.20 MwHRV   5F.G .......
PDE-W 2002 0824202129.73   -3.28  135.79  33         5.80 MwGS    ...G .......
PDE-W 2002 0826145513.94   -6.75  105.71  62         5.80 MwHRV   5F.G .......
PDE-W 2002 0828170533.85   22.11  121.58  33         5.70 mb GS   6..G .......
PDE-W 2002 0829053654      -3.36  145.77  33         5.90 MwHRV   ...G .......
PDE-W 2002 0830055821.05   44.48  149.08  31         5.70 mb GS   3..G .......
PDE-W 2002 0831052718.24    2.71  -84.38  23         5.70 mb GS   ...G .......
PDE-W 2002 0901055624.31   24.06  122.27  39         5.70 Ms GS   4F.G .......
PDE-W 2002 0901171459.89   14.28   51.94  10         6.00 MwGS    ...G .......
PDE-W 2002 0901212804.51   -3.15  143.10  33         5.50 MwHRV   ...G .......
PDE-W 2002 0902133918.22   43.92 -128.24  19         5.70 MwGS    ...G .......
PDE-W 2002 0903142345.30   13.54  120.75  10         5.90 MwHRV   5F.G .......
PDE-W 2002 0904143415.47   -0.82  147.77  10         5.80 mb GS   ...G .......
PDE-W 2002 0906012128.60   38.38   13.70   5         5.90 MwGS    .C.G .......
PDE-W 2002 0907081419.65  -20.27 -176.04 209         6.00 MwGS    ...G .......
PDE-W 2002 0908033641.56  -30.11   60.93  10         5.70 MwGS    ...G .......
PDE-W 2002 0908131555.72  -22.84  178.93 618         6.00 MwGS    ...G .......
PDE-W 2002 0908184423.71   -3.30  142.95  13         7.80 Ms GS   .CFG UT....M
PDE-W 2002 0911045032.86   83.14   -6.08  10         5.60 MwHRV   ...G .......
PDE-W 2002 0913222829.46   13.04   93.07  21         6.70 Ms GS   .CFG .T.....
PDE-W 2002 0914195836.95   13.06   93.16  33         5.80 MwGS    ...G .......
PDE-W 2002 0915010655.80   24.10  122.46  36         5.50 MLTAP   4... .......
PDE-W 2002 0915083932.70   44.83  129.92 586         6.40 MwGS    2..G .......
PDE-W 2002 0916000329.88   25.15  122.27 182         5.60 MwGS    .D.G .......
PDE-W 2002 0916132300.99   -3.31  142.68  10         6.30 MwGS    ...G .......
PDE-W 2002 0916184826.72   66.94  -18.46  10         5.80 MwGS    ...G .......
PDE-W 2002 0917112023.39   -3.28  142.77  10         6.10 MwHRV   ...G .......
PDE-W 2002 0918120136.31   13.11   93.17  33         5.50 MwGS    ...G .......
PDE-W 2002 0918190656.61  -22.47  172.89  10         5.70 MwHRV   ...G .......
PDE-W 2002 0920133341.62   -1.74  134.01  10         6.00 MwGS    ...G .......
PDE-W 2002 0920154335.46   -1.68  134.23  10         6.40 Ms GS   .D.G .......
PDE-W 2002 0923220745.24  -27.20 -176.63  33         5.50 MwHRV   ...G .......
PDE-W 2002 0924022629.55  -10.58  161.15  10         5.60 MwHRV   ...G .......
PDE-W 2002 0924035722.28  -31.52  -69.20 119         6.40 MwGS    5D.G .......
PDE-W 2002 0924041311.63  -10.53  161.20  10         6.20 Ms GS   ...G .......
PDE-W 2002 0924225421.48  -10.56  161.11  10         6.30 Ms GS   ...G .......
PDE-W 2002 0924230128.67  -10.65  161.21  19         6.50 Ms GS   ...G .......
PDE-W 2002 0925222811.92   32.00   49.33  10         5.60 MwHRV   .C.G .......
PDE-W 2002 0926125529.78  -19.65  -12.01  10         5.70 MwHRV   ...G .......
PDE-W 2002 0928135316.57  -10.87  161.41  10         5.70 MwHRV   ...G .......
PDE-W 2002 1001043210.66  -10.80  161.24  10         5.70 MwHRV   ...G .......
PDE-W 2002 1001084655.82  -10.94  161.21  10         5.80 MwHRV   ...G .......
PDE-W 2002 1003042606.81  -10.99  161.45  10         5.90 MwHRV   ...G .......
PDE-W 2002 1003160829.62   23.32 -108.53  10         6.50 MwHRV   .F.G .......
PDE-W 2002 1003190510.67   -7.53  115.66 315         6.00 mb GS   4F.G .......
PDE-W 2002 1004190548.77  -20.99 -179.02 621         6.30 MwGS    ...G .......
PDE-W 2002 1006011835.80   58.47  -31.81  10         5.50 MwGS    ...G .......
PDE-W 2002 1006154633.01   -8.20  118.34  10         6.20 MwGS    4F.G .......
PDE-W 2002 1007190031.95  -18.71  169.29 245         5.70 MwGS    ...G .......
PDE-W 2002 1007200354.58   58.31  -31.95  10         5.70 MwHRV   ...G .......
PDE-W 2002 1008012358.80  -42.04   88.38  10         6.00 MwGS    ...G .......
PDE-W 2002 1010105020.57   -1.76  134.30  10         7.70 Ms GS   .C.G 5T....M
PDE-W 2002 1010110515.66   -1.73  134.24  10         5.50 mb GS   .... .......
PDE-W 2002 1010122752.14   -1.50  134.20  10         5.50 mb GS   .... .......
PDE-W 2002 1010122825.80   -1.51  133.97  10         6.70 Ms GS   .... .......
PDE-W 2002 1010122935.18   -1.40  133.93  10         6.00 mb GS   .... .......
PDE-W 2002 1010183337.51   -1.49  134.14  10         5.50 Ms GS   .... .......
PDE-W 2002 1010211958.51   -1.48  134.11  10         6.00 MwHRV   ...G .......
PDE-W 2002 1012105933.71   37.75  142.62  30         5.50 mb GS   3... .......
PDE-W 2002 1012200911.46   -8.30  -71.74 534         6.90 MwGS    4F.G .......
PDE-W 2002 1012234312.85   15.10  118.50  33         6.10 MwGS    2F.G .......
PDE-W 2002 1013205507.46  -14.60 -175.42  10         6.10 MwGS    ...G .......
PDE-W 2002 1014141243.75   41.17  142.25  61         6.10 MwGS    5F.G .......
PDE-W 2002 1016101221.43   51.95  157.32 102         6.20 MwGS    .F.G .......
PDE-W 2002 1016141312.74  -15.68 -173.05  33         6.10 MwGS    ...G .......
PDE-W 2002 1017042355.94  -19.84 -178.40 627         6.40 MwGS    ...G .......
PDE-W 2002 1017175244.19   -3.60  140.23  33         6.30 MwGS    ...G .......
PDE-W 2002 1018111648.31  -57.19 -142.75  10         6.10 MwHRV   ...G .......
PDE-W 2002 1019004356.43   -3.67  140.31  33         6.10 MwHRV   ...G .......
PDE-W 2002 1019120905.38   44.30  149.96  33         6.40 MwHRV   ...G .......
PDE-W 2002 1022113904.21  -20.63 -178.39 549         6.20 MwGS    ...G .......
PDE-W 2002 1023112719.43   63.51 -147.91   4         6.70 Ms GS   8DFG ......M
PDE-W 2002 1024033426.73   48.26  154.38  33         5.60 mb GS   ...G .......
PDE-W 2002 1024060837.98   -1.88   29.00  11         6.30 Ms GS   .C.G .......
PDE-W 2002 1024071218.40   -1.82   28.98  10         5.50 Ms GS   ...G .......
